UPC,Description,Item_Max_Qty,Order_Threshold,replenishment_order_qty,Item_on_hand,Unit price,Order_placed,,
90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE,24.0,8.0,21.0,19.0,0.65,Y,,
90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA,7.0,3.0,6.0,2.0,0.85,Y,,
21561,DINOSAUR LUNCH BOX WITH CUTLERY,6.0,2.0,6.0,1.0,3.29,Y,,
22852,DOG BOWL VINTAGE CREAM,8.0,3.0,7.0,3.0,0.85,Y,,
23526,DOG LICENCE WALL ART,11.0,4.0,10.0,6.0,0.85,Y,,
84581,DOG TOY WITH PINK CROCHET SKIRT,6.0,2.0,6.0,1.0,1.63,Y,,
23236,DOILEY STORAGE TIN,29.0,9.0,26.0,24.0,0.29,Y,,
23695,DOILY THANK YOU CARD,53.0,16.0,48.0,48.0,0.29,Y,,
23459,DOLLY CABINET 2 DRAWERS ,11.0,4.0,10.0,6.0,0.29,Y,,
23458,DOLLY CABINET 3 DRAWERS ,12.0,4.0,11.0,7.0,0.29,Y,,
23008,DOLLY GIRL BABY GIFT SET,9.0,3.0,8.0,4.0,0.29,Y,,
23289,DOLLY GIRL CHILDRENS BOWL,10.0,3.0,9.0,5.0,0.29,Y,,
23291,DOLLY GIRL CHILDRENS CUP,8.0,3.0,7.0,3.0,0.29,Y,,
23390,DOLLY GIRL MINI BACKPACK,19.0,6.0,17.0,14.0,0.29,Y,,
23229,VINTAGE DONKEY TAIL GAME ,35.0,11.0,31.0,30.0,0.79,Y,,
48185,DOORMAT FAIRY CAKE,13.0,4.0,12.0,8.0,0.29,Y,,
22690,DOORMAT HOME SWEET HOME BLUE ,6.0,2.0,6.0,1.0,0.29,Y,,
48116,DOORMAT MULTICOLOUR STRIPE,17.0,6.0,15.0,12.0,0.29,Y,,
48187,DOORMAT NEW ENGLAND,197.0,60.0,177.0,192.0,0.29,,,
22688,DOORMAT PEACE ON EARTH BLUE,101.0,31.0,91.0,96.0,0.29,,,
20685,DOORMAT RED RETROSPOT,7.0,3.0,6.0,2.0,9.95,Y,,
22365,DOORMAT RESPECTABLE HOUSE,6.0,2.0,6.0,1.0,0.85,Y,,
21524,DOORMAT SPOTTY HOME SWEET HOME,7.0,3.0,6.0,2.0,2.46,Y,,
48129,DOORMAT TOPIARY,29.0,9.0,26.0,24.0,0.85,Y,,
48138,DOORMAT UNION FLAG,125.0,38.0,112.0,120.0,0.85,,,
21955,DOORMAT UNION JACK GUNS AND ROSES,10.0,3.0,9.0,5.0,0.85,Y,,
22692,DOORMAT WELCOME TO OUR HOME,5.0,2.0,4.0,0.0,0.85,Y,,
23029,DRAWER KNOB CRACKLE GLAZE GREEN,17.0,6.0,15.0,12.0,0.85,Y,,
90177D,DROP DIAMANTE EARRINGS PURPLE,6.0,2.0,6.0,1.0,0.85,Y,,
90188,DROP EARRINGS W FLOWER & LEAF,11.0,4.0,10.0,6.0,0.85,Y,,
35597A,DUSTY PINK CHRISTMAS TREE 30CM,8.0,3.0,7.0,3.0,0.85,Y,,
84231,EASTER BUNNY WITH BASKET ON BACK,7.0,3.0,6.0,2.0,0.85,Y,,
22266,EASTER DECORATION HANGING BUNNY,15.0,5.0,13.0,10.0,0.85,Y,,
22265,EASTER DECORATION NATURAL CHICK,5.0,2.0,4.0,0.0,0.85,Y,,
22268,EASTER DECORATION SITTING BUNNY,12.0,4.0,11.0,7.0,0.85,Y,,
22860,EASTER TIN CHICKS PINK DAISY,9.0,3.0,8.0,4.0,0.85,Y,,
85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,5.0,2.0,4.0,0.0,0.85,Y,,
15056BL,EDWARDIAN PARASOL BLACK,10.0,3.0,9.0,5.0,0.85,Y,,
23069,EDWARDIAN PHOTO FRAME,25.0,8.0,22.0,20.0,0.85,Y,,
23565,EGG CUP MILKMAID HELGA ,14.0,5.0,12.0,9.0,0.85,Y,,
23564,EGG CUP MILKMAID INGRID,7.0,3.0,6.0,2.0,1.63,Y,,
21826,EIGHT PIECE DINOSAUR SET,773.0,232.0,696.0,768.0,0.65,,,
46126A,ELVIS WALLHANGING / CURTAIN,77.0,24.0,69.0,72.0,0.85,,,
22494,EMERGENCY FIRST AID TIN ,13.0,4.0,12.0,8.0,0.85,Y,,
22023,EMPIRE BIRTHDAY CARD,7.0,3.0,6.0,2.0,1.63,Y,,
22053,EMPIRE DESIGN ROSETTE,9.0,3.0,8.0,4.0,1.63,Y,,
35241,ENAMEL BLUE RIM BISCUIT BIN,101.0,31.0,91.0,96.0,0.85,,,
35809B,ENAMEL BLUE RIM TEA CONTAINER,18.0,6.0,16.0,13.0,0.85,Y,,
22425,ENAMEL COLANDER CREAM,53.0,16.0,48.0,48.0,0.85,Y,,
23249,ENAMEL DINNER PLATE PANTRY,10.0,3.0,9.0,5.0,1.63,Y,,
35810A,ENAMEL PINK COFFEE CONTAINER,15.0,5.0,13.0,10.0,1.63,Y,,
84792,ENCHANTED BIRD COATHANGER 5 HOOK,8.0,3.0,7.0,3.0,0.85,Y,,
